2015-09-11 23:50:53 INFO  LogLog4j:45 - Opening login page
2015-09-11 23:50:59 INFO  LogLog4j:33 - Checking that all correct data added successfully
2015-09-11 23:57:53 INFO  LogLog4j:45 - Opening login page
2015-09-11 23:57:58 INFO  LogLog4j:33 - Checking that all correct data added successfully
2015-09-11 23:57:59 INFO  LogLog4j:77 - entering from: Madrid, Spain 
2015-09-11 23:57:59 INFO  LogLog4j:83 - entering password: Barcelona, Spain 
2015-09-12 00:02:13 INFO  LogLog4j:45 - Opening login page
2015-09-12 00:02:17 INFO  LogLog4j:33 - Checking that all correct data added successfully
2015-09-12 00:02:17 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (d9f2672c-3288-41ea-990c-8d17c59d6121)] -> id: from_filter]
2015-09-12 00:02:17 INFO  LogLog4j:77 - entering from: Madrid, Spain 
2015-09-12 00:02:17 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (d9f2672c-3288-41ea-990c-8d17c59d6121)] -> id: to_filter]
2015-09-12 00:02:18 INFO  LogLog4j:83 - entering password: Barcelona, Spain 
2015-09-12 00:02:18 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (d9f2672c-3288-41ea-990c-8d17c59d6121)] -> id: search-form__submit-btn]
2015-09-12 00:02:45 INFO  LogLog4j:45 - Opening login page
2015-09-12 00:02:49 INFO  LogLog4j:33 - Checking that all correct data added successfully
2015-09-12 00:02:49 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (4dafd747-ec98-45fe-af29-e29f36f55f81)] -> id: from_filter]
2015-09-12 00:02:49 INFO  LogLog4j:77 - entering from: Madrid, Spain 
2015-09-12 00:02:50 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (4dafd747-ec98-45fe-af29-e29f36f55f81)] -> id: to_filter]
2015-09-12 00:02:50 INFO  LogLog4j:83 - entering password: Barcelona, Spain 
2015-09-12 00:02:50 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (4dafd747-ec98-45fe-af29-e29f36f55f81)] -> id: search-form__submit-btn]
2015-09-12 00:05:25 INFO  SearchPage:45 - Opening login page
2015-09-12 00:05:29 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:05:29 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (06505756-3f09-40f3-803c-2947cc0174ac)] -> id: from_filter]
2015-09-12 00:05:29 INFO  SearchPage:77 - entering from: Madrid, Spain 
2015-09-12 00:05:30 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (06505756-3f09-40f3-803c-2947cc0174ac)] -> id: to_filter]
2015-09-12 00:05:30 INFO  SearchPage:83 - entering password: Barcelona, Spain 
2015-09-12 00:05:30 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (06505756-3f09-40f3-803c-2947cc0174ac)] -> css selector: #search-form__submit-btn]
2015-09-12 00:09:48 INFO  SearchPage:45 - Opening login page
2015-09-12 00:09:52 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:09:52 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (ddf22655-6a22-4da8-a249-600e6d3b6c45)] -> css selector: #search-form__submit-btn]
2015-09-12 00:10:21 INFO  SearchPage:45 - Opening login page
2015-09-12 00:10:24 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:10:25 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (0bc27042-4992-48ec-8aac-e2b6cc79b52e)] -> id: from_filter]
2015-09-12 00:10:25 INFO  SearchPage:77 - entering from: Madrid, Spain 
2015-09-12 00:10:25 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (0bc27042-4992-48ec-8aac-e2b6cc79b52e)] -> id: to_filter]
2015-09-12 00:10:26 INFO  SearchPage:83 - entering password: Barcelona, Spain 
2015-09-12 00:10:26 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (0bc27042-4992-48ec-8aac-e2b6cc79b52e)] -> css selector: #search-form__submit-btn]
2015-09-12 00:10:50 INFO  SearchPage:45 - Opening login page
2015-09-12 00:10:54 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:10:55 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (25dc3c84-69a9-4558-9928-93c336253013)] -> id: from_filter]
2015-09-12 00:10:55 INFO  SearchPage:77 - entering from: Madrid, Spain 
2015-09-12 00:10:55 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (25dc3c84-69a9-4558-9928-93c336253013)] -> id: to_filter]
2015-09-12 00:10:56 INFO  SearchPage:83 - entering password: Barcelona, Spain 
2015-09-12 00:10:56 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (25dc3c84-69a9-4558-9928-93c336253013)] -> css selector: #search-form__submit-btn]
2015-09-12 00:12:19 INFO  SearchPage:45 - Opening login page
2015-09-12 00:12:23 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:12:23 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (70b16a0b-061b-4a0f-8b52-7c39d4772c07)] -> id: from_filter]
2015-09-12 00:12:24 INFO  SearchPage:77 - entering from: Madrid, Spain 
2015-09-12 00:12:24 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (70b16a0b-061b-4a0f-8b52-7c39d4772c07)] -> id: to_filter]
2015-09-12 00:12:24 INFO  SearchPage:83 - entering password: Barcelona, Spain 
2015-09-12 00:12:25 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (70b16a0b-061b-4a0f-8b52-7c39d4772c07)] -> css selector: #search-form__submit-btn]
2015-09-12 00:13:47 INFO  SearchPage:45 - Opening login page
2015-09-12 00:13:51 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:13:51 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (a35695dd-a363-4124-8675-3e9d45206cd1)] -> id: from_filter]
2015-09-12 00:13:51 INFO  SearchPage:77 - entering from: Madrid, Spain 
2015-09-12 00:13:51 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (a35695dd-a363-4124-8675-3e9d45206cd1)] -> id: to_filter]
2015-09-12 00:13:52 INFO  SearchPage:83 - entering password: Barcelona, Spain 
2015-09-12 00:13:53 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (a35695dd-a363-4124-8675-3e9d45206cd1)] -> id: search-form__submit-btn]
2015-09-12 00:16:45 INFO  SearchPage:36 - Opening login page
2015-09-12 00:16:49 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:16:49 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (ac99c447-ef11-4cc7-b01b-8b92f4953e12)] -> id: from_filter]
2015-09-12 00:16:49 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:16:49 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (ac99c447-ef11-4cc7-b01b-8b92f4953e12)] -> id: to_filter]
2015-09-12 00:16:50 INFO  SearchPage:61 - entering password: Barcelona, Spain 
2015-09-12 00:16:50 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (ac99c447-ef11-4cc7-b01b-8b92f4953e12)] -> id: search-form__submit-btn]
2015-09-12 00:17:12 INFO  SearchPage:36 - Opening login page
2015-09-12 00:17:16 INFO  SearchTest:32 - Checking that all correct data added successfully
2015-09-12 00:17:16 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (7faa7582-83a8-4e65-ad9e-2603d409a95e)] -> id: from_filter]
2015-09-12 00:17:17 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:17:17 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (7faa7582-83a8-4e65-ad9e-2603d409a95e)] -> id: to_filter]
2015-09-12 00:17:17 INFO  SearchPage:61 - entering password: Barcelona, Spain 
2015-09-12 00:17:17 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (7faa7582-83a8-4e65-ad9e-2603d409a95e)] -> id: search-form__submit-btn]
2015-09-12 00:19:30 INFO  SearchPage:36 - Opening login page
2015-09-12 00:19:33 INFO  SearchTest:33 - Checking that all correct data added successfully
2015-09-12 00:19:34 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (948a41f1-2e7c-4ec2-83ca-6c59c8f38cab)] -> id: from_filter]
2015-09-12 00:19:34 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:19:34 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (948a41f1-2e7c-4ec2-83ca-6c59c8f38cab)] -> id: to_filter]
2015-09-12 00:19:34 INFO  SearchPage:61 - entering password: Barcelona, Spain 
2015-09-12 00:21:54 INFO  SearchPage:36 - Opening login page
2015-09-12 00:21:59 INFO  SearchTest:33 - Checking that all correct data added successfully
2015-09-12 00:21:59 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (3bf2da22-0b8d-47ad-bd88-6941ec2d729d)] -> id: from_filter]
2015-09-12 00:21:59 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:21:59 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (3bf2da22-0b8d-47ad-bd88-6941ec2d729d)] -> id: to_filter]
2015-09-12 00:22:00 INFO  SearchPage:61 - entering password: Barcelona, Spain 
2015-09-12 00:22:24 INFO  SearchPage:36 - Opening login page
2015-09-12 00:22:28 INFO  SearchTest:33 - Checking that all correct data added successfully
2015-09-12 00:22:28 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (f4b50246-c592-47d6-8196-dd0a5b6264c1)] -> id: from_filter]
2015-09-12 00:22:29 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 00:22:29 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (f4b50246-c592-47d6-8196-dd0a5b6264c1)] -> id: to_filter]
2015-09-12 00:22:29 INFO  SearchPage:61 - entering password: Barcelona, Spain 
2015-09-12 00:23:46 INFO  SearchPage:36 - Opening login page
2015-09-12 00:23:50 INFO  SearchTest:33 - Checking that all correct data added successfully
